no,eyebrow,eye,mouth,efx1,efx2,efx3,비고
0,0,0,0,0,0,0,
1,6,6,9,0,0,0,지구하 기본
2,6,6,8,0,0,0,지구하 웃음1 / 눈뜸
3,6,5,8,0,0,0,지구하 웃음2 / 눈감음
4,6,5,7,0,0,0,지구하 웃음3 / 눈감고 입벌림
5,5,5,7,1,0,0,지구하 웃음 3 / 홍조 추가
6,3,4,5,3,0,0,지구하 미안
7,3,6,4,6,0,0,"지구하 불안, 초조"
8,3,5,4,3,0,0,지구하 질끈
9,3,5,5,3,0,0,지구하 질끈 / 입 벌림
10,3,3,4,3,0,0,지구하 울음
11,3,3,5,3,0,0,지구하 울음 / 입 벌림
12,3,2,9,1,0,0,지구하 병맛 울음
13,4,4,9,2,0,8,지구하 빠직
14,4,4,5,2,0,8,지구하 빠직 / 입 벌림
15,8,8,8,0,0,0,유가현 기본 스탠딩
16,8,8,8,3,0,0,"유가현 취함, 힐긋"
17,4,8,4,3,0,0,유가현 웃음1 / 기본 눈
18,4,4,4,3,0,0,"유가현 웃음2 / 아련 눈, 배시시"
19,3,4,8,6,0,11,"유가현 불안, 초조"
20,3,2,7,6,0,11,"유가현 짜증, 실증"
21,3,6,6,6,0,11,"유가현 히이익, 공포 / 땀 0"
22,3,6,6,6,0,0,"유가현 히이익, 공포 / 땀 X"
23,3,7,1,0,3,0,유가현 울음
24,3,4,1,0,3,0,유가현 울기 전
25,3,5,5,1,0,0,유가현 부끄러워 우와악 1
26,3,5,5,1,4,0,유가현 부끄러워 우와악 2
27,7,3,8,6,12,0,유가현 빠직
28,7,3,3,6,12,0,유가현 빠직 / 입벌림
29,3,8,1,3,0,0,"유가현 소심,부끄 / 입벌림"
30,3,8,8,3,0,0,"유가현 소심,부끄 "
31,3,6,7,3,0,0,유가현 >ㅁ<
32,3,5,5,6,0,11,유가현 @ㅁ@
33,3,8,3,3,0,0,"유가현 저기, 잠시만..!"
34,2,8,3,3,0,0,재활운동(연습)
